,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown,Avg Turnover,Runtime (s)
PGD,0.09103695452959948,0.12325159160753185,0.7386270095358043,-0.16673598851040863,0.0895181528070699,1.3037588596343994
SA,0.09485711261079399,0.12482078886561472,0.7599464277775043,-0.18654078071630417,1.164272242740058,2.992959976196289
DE,0.10874572734521548,0.15191790562386415,0.715819026721318,-0.1728296403741177,1.5209510297630329,6.697304964065552
